1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,4,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,50
0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,7,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,8,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,15,50
0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,9,16,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,19,50
0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,21,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,22,50
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667,6,23,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,24,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,26,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27,50
0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,5,28,50
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,5,29,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30,50
0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,29,31,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,35,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,4,36,50
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,5,37,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,38,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,40,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,42,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,43,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,44,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,46,50
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,5,47,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,48,50
0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,4,49,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,50,50
0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,51,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,52,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,54,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,55,50
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,56,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,57,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59,50
0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,8,60,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,61,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,62,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,63,50
0.9285714285714286,0.9285714285714286,0.8571428571428572,0.8571428571428572,0.6428571428571428,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.9285714285714286,14,64,50
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,65,50
0.9411764705882353,0.7647058823529411,0.9411764705882353,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.9411764705882353,17,66,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,67,50
0.4285714285714286,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,7,68,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,69,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,70,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,71,50
0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2,72,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73,50
0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0.8,0.8,5,74,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,75,50
0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428572,14,76,50
0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,7,77,50
0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,2,78,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,79,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,80,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,81,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,82,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,83,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,84,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,85,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,86,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,87,50
0.8571428571428572,0.8571428571428572,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,7,88,50
0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,2,89,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,90,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,2,91,50
0.2857142857142857,0.2857142857142857,0.7142857142857143,0.8571428571428572,0.2857142857142857,0.8571428571428572,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.8571428571428572,7,92,50
0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.8,0.8,0.8,0.8,0.8,5,93,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,94,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,95,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,96,50
0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,97,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,98,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,99,50
0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,100,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,101,50
0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,102,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,103,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,104,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,105,50
0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,106,50
