version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9480069324090121,0.9456961294049683,0.9433853264009243,0.9537839399191219,0.9503177354130561,0.9474292316580012,0.9468515309069901,0.9474292316580012,0.9433853264009243,0.9474292316580012,1731,34,50
2,0.34408602150537637,0.4086021505376344,0.3870967741935484,0.32258064516129037,0.4086021505376344,0.3870967741935484,0.34408602150537637,0.4516129032258065,0.3870967741935484,0.34408602150537637,93,1,50
3,0.9529889727219966,0.9541497388276262,0.9529889727219966,0.947185142193848,0.954730121880441,0.9564712710388856,0.954730121880441,0.9489262913522926,0.9582124201973302,0.954730121880441,1723,34,50
4,0.3492063492063492,0.25396825396825395,0.2857142857142857,0.31746031746031744,0.25396825396825395,0.3492063492063492,0.31746031746031744,0.25396825396825395,0.4126984126984127,0.31746031746031744,63,1,50
5,0.3291139240506329,0.40506329113924056,0.3291139240506329,0.35443037974683544,0.2784810126582279,0.3291139240506329,0.379746835443038,0.40506329113924056,0.40506329113924056,0.3291139240506329,79,1,50
6,0.9552715654952076,0.9549165779197728,0.9460418885339014,0.9524316648917288,0.9389421370252041,0.9499467518636848,0.949236776712815,0.9474618388356407,0.946751863684771,0.946751863684771,2817,56,50
7,0.9572279371954521,0.9588521927449919,0.9561451001624256,0.9523551705468327,0.9539794260963725,0.9566865186789388,0.9583107742284787,0.9599350297780184,0.9556036816459123,0.952896589063346,1847,36,50
8,0.8844984802431611,0.8677811550151976,0.8996960486322189,0.8693009118541033,0.8860182370820668,0.8677811550151976,0.8768996960486322,0.8966565349544073,0.8708206686930091,0.8693009118541033,658,13,50
9,0.8515850144092219,0.8645533141210375,0.8962536023054755,0.8645533141210375,0.8818443804034583,0.8919308357348703,0.8703170028818443,0.8933717579250721,0.877521613832853,0.909221902017291,694,13,50
10,0.8757142857142857,0.8785714285714286,0.8942857142857142,0.8842857142857143,0.8757142857142857,0.8685714285714285,0.8857142857142857,0.8942857142857142,0.8828571428571429,0.8842857142857143,700,14,50
11,0.18181818181818177,0.18181818181818177,0.10909090909090913,0.21818181818181814,0.18181818181818177,0.18181818181818177,0.18181818181818177,0.1454545454545455,0.18181818181818177,0.21818181818181814,55,1,50
12,0.039215686274509776,0.0,0.07843137254901966,0.0,0.039215686274509776,0.039215686274509776,0.039215686274509776,0.07843137254901966,0.0,0.07843137254901966,51,1,50
13,0.2571428571428571,0.34285714285714286,0.3142857142857143,0.37142857142857144,0.34285714285714286,0.34285714285714286,0.3142857142857143,0.4,0.2857142857142857,0.3142857142857143,70,1,50
14,0.9557251908396946,0.933587786259542,0.9381679389312977,0.9396946564885497,0.9496183206106871,0.9488549618320611,0.9488549618320611,0.9412213740458015,0.9358778625954198,0.9458015267175572,1310,26,50
15,0.9493787390704096,0.9585826046939715,0.9558214450069029,0.9636447307869305,0.9622641509433962,0.9489185457892315,0.9618039576622182,0.9553612517257248,0.9654855039116429,0.9576622181316152,2173,43,50
16,0.9591265397536394,0.958006718924972,0.9568868980963046,0.9608062709966405,0.9507278835386338,0.9512877939529675,0.9540873460246361,0.9535274356103024,0.9552071668533034,0.9563269876819709,1786,35,50
