version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9568165596002856,0.9478943611705924,0.9478943611705924,0.9582441113490364,0.951106352605282,0.9578872234118487,0.9561027837259101,0.9589578872234118,0.9553890078515346,0.9578872234118487,2802,56,50
2,0.9185714285714286,0.9114285714285715,0.9207142857142857,0.9264285714285714,0.91,0.9064285714285715,0.9164285714285714,0.9207142857142857,0.915,0.9128571428571428,1400,28,50
3,0.969272076372315,0.9639021479713604,0.9630071599045346,0.9674821002386634,0.9630071599045346,0.969272076372315,0.9671837708830548,0.9609188544152745,0.9650954653937948,0.9630071599045346,3352,67,50
4,0.9376693766937669,0.9390243902439024,0.94579945799458,0.9579945799457995,0.943089430894309,0.9561878952122854,0.9561878952122854,0.9421860885275519,0.9467028003613369,0.9439927732610659,2214,44,50
5,0.9727187206020697,0.9734242709313264,0.9715428033866416,0.9703668861712136,0.9691909689557855,0.9722483537158984,0.970131702728128,0.9720131702728128,0.9720131702728128,0.9689557855126999,4252,85,50
6,0.9572,0.9628,0.9588,0.9564,0.9604,0.9544,0.9648,0.9568,0.9588,0.9564,2500,50,50
7,0.929637526652452,0.9269722814498934,0.9232409381663113,0.9328358208955224,0.9205756929637526,0.9312366737739872,0.920042643923241,0.9328358208955224,0.9269722814498934,0.9285714285714286,1876,37,50
8,0.4559585492227979,0.5025906735751295,0.44041450777202074,0.49740932642487046,0.4818652849740933,0.5129533678756477,0.49740932642487046,0.5129533678756477,0.544041450777202,0.4507772020725389,193,3,50
9,0.9453262786596119,0.9528218694885362,0.9466490299823633,0.9506172839506173,0.9519400352733686,0.9607583774250441,0.9457671957671958,0.95326278659612,0.9506172839506173,0.9594356261022927,2268,45,50
10,0.9388888888888889,0.935,0.9366666666666666,0.9355555555555556,0.9222222222222223,0.9366666666666666,0.9416666666666667,0.9383333333333334,0.9377777777777778,0.9216666666666666,1800,36,50
11,0.8772298006295908,0.8856243441762854,0.8898216159496327,0.8992654774396642,0.9055613850996852,0.8803777544596012,0.8730325288562435,0.9045120671563484,0.9045120671563484,0.8772298006295908,953,19,50
12,0.934185303514377,0.9431309904153354,0.931629392971246,0.9348242811501597,0.9354632587859425,0.9329073482428115,0.9348242811501597,0.9271565495207668,0.934185303514377,0.939297124600639,1565,31,50
13,0.9426633785450061,0.938964241676942,0.9445129469790382,0.9346485819975339,0.9346485819975339,0.9315659679408138,0.938964241676942,0.9315659679408138,0.938347718865598,0.9340320591861899,1622,32,50
14,0.9263377345378735,0.9325920778318276,0.9179986101459346,0.9242529534398888,0.935371785962474,0.9381514940931203,0.9395413481584434,0.9221681723419041,0.9312022237665045,0.9221681723419041,1439,28,50
15,0.9300080450522928,0.917940466613033,0.9219629927594529,0.9002413515687852,0.9074818986323411,0.9002413515687852,0.917940466613033,0.8970233306516493,0.9082864038616251,0.9090909090909091,1243,24,50
