model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chart;2;106;47;6;149;109;83.4;56.535829347414726;6;149;598;1208;65;180;757;561.6;460.86039100794943;65;1208;14;273;211;117;68;136.6;105.19172971293894;14;273
Chart;3;657.5;39;121;97;593;301.5;297.91567598902884;39;657.5;464;438;70.5;634;84.5;338.2;249.65491182830752;70.5;634;488;660;102;73;372;339.0;251.62273347215668;73;660
Chart;5;43;1;22;81;24;34.2;30.094850057775666;1;81;114;235;121;40;193;140.6;75.6128295992155;40;235;63;8;103;127;88;77.8;45.41695718561516;8;127
Chart;6;664;463;650;377;640;558.8;130.58215804618945;377;664;618;66.5;570;403;324;396.3;219.86518596630984;66.5;618;625;622;637;420;605;581.8;91.16852527051209;420;637
Chart;7;410;192;341;313;329;317.0;79.07275131168764;192;410;264;393;196;62;85;200.0;135.67424221273544;62;393;395;214;341;400;376;345.2;76.9135878762654;214;400
Chart;8;52;69;123;37;29;62.0;37.36308338453881;29;123;111;157;55;175;41;107.8;59.575162609933344;41;175;8;30;25;19;35;23.4;10.454664030948102;8;35
Chart;9;491;873;197;241;85;377.4;314.31321957563284;85;873;140;125.5;187;108;188.5;149.8;36.45305199842669;108;188.5;701;468;748;242;195;470.8;254.093880288369;195;748
Chart;10;3;1;3;3;2;2.4;0.8944271909999159;1;3;12;45.5;40.5;44;25;33.4;14.47152376220279;12;45.5;1;1;1;1;1;1.0;0.0;1;1
Chart;11;159;135;22;69;99;96.8;54.085118101008156;22;159;18.5;11;26;16;103;34.9;38.45191802758348;11;103;81;135;45;135;144;108.0;43.162483709814474;45;144
Chart;12;891.5;897;2649;177;3114;1545.7;1264.8087602479673;177;3114;1584;279;1114;1073;1140;1038.0;472.12339488739593;279;1584;841;2547;770;3839;846;1768.6;1378.522506163755;770;3839
Chart;13;686;354;396;406;4;369.2;242.91809319192342;4;686;729;497;116.5;664;101;421.5;297.82880988917105;101;729;100;320;259;419;19;223.4;162.68466430490614;19;419
Chart;14;100;111;2704;2575.5;540;1206.1;1321.4907491163153;100;2704;1262;1340;525.5;526;526;835.9;425.47097433315;525.5;1340;12;79;419;1579;882;594.2;649.565778039453;12;1579
Chart;16;1;8;1;10;1;4.2;4.43846820423443;1;10;88.5;59.5;3;76;57;56.8;32.69288913510093;3;88.5;6;7;7;5;5;6.0;1.0;5;7
