model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chart;2;93;65;40;107;94;79.8;27.012959852633696;40;107;165;215;424;369;99.5;254.5;137.3280743329637;99.5;424;35;23;330;117;46;110.2;128.19789389845687;23;330
Chart;3;239;317;187;144;384;254.2;97.06029054149798;144;384;506;476;232;781;762;551.4;227.39349155153937;232;781;233;606;316;407;261;364.6;150.40378984586792;233;606
Chart;5;18;2;25;15;69;25.8;25.547994050414214;2;69;163;148;195;176;113;159.0;30.97579700346708;113;195;84;24;41;27;39;43.0;24.072806234421446;24;84
Chart;6;647;491;646;650;469;580.6;92.17537632144497;469;650;590;289;100.5;440;607;405.3;213.55900823894083;100.5;607;645;642;619;524;612;608.4;49.28792955683978;524;645
Chart;7;39;169;19;258;320;161.0;132.10034065058272;19;320;260;182;287;358;332;283.8;68.4996350355241;182;358;411;67;416;354;276;304.8;144.43233709941828;67;416
Chart;8;36;20;87;13;55;42.2;29.81107176872378;13;87;9.5;84;134;32.5;117;75.4;53.43617688420458;9.5;134;7;32;14;9;16;15.6;9.864076236526156;7;32
Chart;9;833;879;25;407;78;444.4;403.55643967108244;25;879;271;467;193;349;384;332.8;105.18650103506629;193;467;157;468;677;160;65;305.4;257.62433891230074;65;677
Chart;10;1;1;2;2;2;1.6;0.5477225575051661;1;2;47.5;42;45.5;21;5;32.2;18.52228387645541;5;47.5;1;1;3;3;2;2.0;1.0;1;3
Chart;11;11;56;4;16;46;26.6;22.952124084711638;4;56;18;143;119;158;189;125.4;65.17898434311478;18;189;137;128;55;104;119;108.6;32.34656086819741;55;137
Chart;12;540;1640;1956;33;195;872.8;871.399850814768;33;1956;544.5;2110;3927;1733;1216;1906.1;1273.3585708668238;544.5;3927;576;2301;185;3966;1590;1723.6;1505.3133560823808;185;3966
Chart;13;319;94;281;441;20;231.0;171.4890667068895;20;441;321;184;294;331;88.5;243.7;104.61572539537256;88.5;331;343;67;302;642;23;275.4;248.39947665001228;23;642
Chart;14;192;675;411;2262;295;767.0;854.9318686304774;192;2262;2694;789;3181;473;788.5;1585.1;1253.1629183789314;473;3181;20;547.5;1165;1417.5;576;745.2;552.6862355803697;20;1417.5
