model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chart;2;21;151;135;25;165;99.4;70.56061224224177;21;165;1112;1249;951;642;547;900.2;300.21608884268676;547;1249;45;63;58;56;60;56.4;6.877499545619759;45;63
Chart;3;7;7;7;6;13;8.0;2.8284271247461903;6;13;266.5;75.5;704.5;621.5;602.5;454.1;269.85051417405157;75.5;704.5;5;7;6;7;7;6.4;0.8944271909999159;5;7
Chart;5;11;7;7;11;8;8.8;2.04939015319192;7;11;90;21;9;5;80.5;41.1;40.869303884455874;5;90;2;2;8;5;7;4.8;2.7748873851023217;2;8
Chart;6;126;53;166;45;35;85.0;57.80570906061096;35;166;620;179;565;199;626;437.8;228.47253664280964;179;626;52;67;66;69;83;67.4;11.013627921806691;52;83
Chart;7;225;38;144;61;172;128.0;77.76567366132694;38;225;301;12.5;116;226;130.5;157.2;110.40867266659808;12.5;301;200;131;110;207;200;169.6;45.522521898506454;110;207
Chart;8;17;1;12;16;4;10.0;7.176350047203662;1;17;154;179;119;192;52;139.2;56.13109655084247;52;192;25;20;23;16;23;21.4;3.5071355833500366;16;25
Chart;9;15;22;5;4;11;11.4;7.436396977031283;4;22;748.5;301;598;726;301.5;535.0;220.9697377470499;301;748.5;14;11;11;12;6;10.8;2.949576240750525;6;14
Chart;10;3;1;3;3;2;2.4;0.8944271909999159;1;3;12;45.5;40.5;44;25;33.4;14.47152376220279;12;45.5;1;1;1;1;1;1.0;0.0;1;1
Chart;11;76;26;1;16;129;49.6;52.55758746365743;1;129;141;58;62;134.5;138;106.7;42.71650734786261;58;141;14;16;12;12;30;16.8;7.563068160475615;12;30
Chart;12;32;23;56;8;78;39.4;27.72724292099739;8;78;2029;4178;2924;3010;3095;3047.2;763.9186475011588;2029;4178;21;13;11;23;9;15.4;6.228964600958975;9;23
Chart;13;467;40;132;47;5;138.2;189.63834000539026;5;467;815.5;548;677.5;307;602;590.0;187.41898249643765;307;815.5;8;45;62;15;13;28.6;23.649524308112415;8;62
Chart;14;10;4;15;13;12;10.8;4.207136793592526;4;15;389.5;37;1215.5;901;1331;774.8;550.5239095625185;37;1331;112;233;245;345;211;229.2;83.27784819506326;112;345
