model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chart;2;72;64;69;92;65;72.4;11.414902540100814;64;92;657;638;246.5;973.5;1017.5;706.5;310.9471418103083;246.5;1017.5;48;33;90;75;70;63.2;22.620786900547913;33;90
Chart;3;4;7;8;4;10;6.6;2.6076809620810595;4;10;211;136.5;652.5;252.5;129;276.3;216.56309704102406;129;652.5;3;7;6;7;7;6.0;1.7320508075688772;3;7
Chart;5;10;12;13;7;13;11.0;2.5495097567963922;7;13;85;91.5;91;90;93;90.1;3.049590136395381;85;93;1;1;3;2;7;2.8;2.4899799195977463;1;7
Chart;6;9;5;7;11;5;7.4;2.6076809620810595;5;11;636;499;474;220;600;485.8;163.2213221365395;220;636;48;52;40;52;54;49.2;5.585696017507577;40;54
Chart;7;17;139;64;392;390;200.4;179.35244631730006;17;392;255;340;122.5;164;26;181.5;120.92559695945272;26;340;181;103;260;176;215;187.0;57.719147602853596;103;260
Chart;8;17;2;17;11;16;12.6;6.4265076052238514;2;17;147;111;142;140.5;151;138.3;15.817711591756881;111;151;16;23;14;6;20;15.8;6.496152707564686;6;23
Chart;9;14;18;2;10;4;9.6;6.6932802122726045;2;18;265.5;286;184;271;70;215.3;90.43340090917735;70;286;3;9;6;12;2;6.4;4.159326868617084;2;12
Chart;10;1;1;2;2;2;1.6;0.5477225575051661;1;2;47.5;42;45.5;21;5;32.2;18.52228387645541;5;47.5;1;1;3;3;2;2.0;1.0;1;3
Chart;11;2;14;1;9;32;11.6;12.581732790041283;1;32;58;132.5;148;167;162;133.5;44.288824775557096;58;167;25;22;21;13;24;21.0;4.743416490252569;13;25
Chart;12;24;30;36;17;19;25.2;7.854934754662192;17;36;1004.5;3015;3802;3269;2651;2748.3;1060.9956173330784;1004.5;3802;21;11;7;35;12;17.2;11.18928058455949;7;35
Chart;13;29;14;87;14;6;30.0;32.931747600150224;6;87;572;655;665;684;643;643.8;42.856738093326705;572;684;24;19;74;17;9;28.6;25.948024973010952;9;74
Chart;14;7;9;20;13;13;12.4;4.979959839195493;7;20;1487;1137;176;1441;1956;1239.4;662.7158516287354;176;1956;118;211;291;317;220;231.4;77.91854721438278;118;317
